nb vectors,nb trees,db size in bytes,recall score,recall@1,recall@10,recall@20,recall@50,recall@100,recall@500
512,1,4218880,1.00,1.00,1.00,1.00,1.00,1.00,1.00
512,8,4218880,1.00,1.00,1.00,1.00,1.00,1.00,1.00
512,32,4218880,1.00,1.00,1.00,1.00,1.00,1.00,1.00
512,64,4218880,1.00,1.00,1.00,1.00,1.00,1.00,1.00
512,128,4218880,1.00,1.00,1.00,1.00,1.00,1.00,1.00
512,256,4218880,1.00,1.00,1.00,1.00,1.00,1.00,1.00
512,512,4218880,1.00,1.00,1.00,1.00,1.00,1.00,1.00
512,1024,4218880,1.00,1.00,1.00,1.00,1.00,1.00,1.00
512,2048,4218880,1.00,1.00,1.00,1.00,1.00,1.00,1.00
512,4096,4218880,1.00,1.00,1.00,1.00,1.00,1.00,1.00
1024,1,8433664,1.00,1.00,1.00,1.00,1.00,1.00,1.00
1024,8,8433664,1.00,1.00,1.00,1.00,1.00,1.00,1.00
1024,32,8433664,1.00,1.00,1.00,1.00,1.00,1.00,1.00
1024,64,8433664,1.00,1.00,1.00,1.00,1.00,1.00,1.00
1024,128,8433664,1.00,1.00,1.00,1.00,1.00,1.00,1.00
1024,256,8433664,1.00,1.00,1.00,1.00,1.00,1.00,1.00
1024,512,8433664,1.00,1.00,1.00,1.00,1.00,1.00,1.00
1024,1024,8433664,1.00,1.00,1.00,1.00,1.00,1.00,1.00
1024,2048,8433664,1.00,1.00,1.00,1.00,1.00,1.00,1.00
1024,4096,8433664,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2048,1,16863232,0.69,1.00,0.69,0.66,0.63,0.60,0.57
2048,8,16973824,0.89,1.00,0.87,0.85,0.82,0.82,0.98
2048,32,17342464,0.96,1.00,0.91,0.90,0.97,0.99,1.00
2048,64,17817600,0.99,1.00,0.94,0.98,0.99,1.00,1.00
2048,128,18800640,1.00,1.00,0.98,1.00,1.00,1.00,1.00
2048,256,20713472,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2048,512,24596480,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2048,1024,32415744,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2048,2048,47964160,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2048,4096,79253504,1.00,1.00,1.00,1.00,1.00,1.00,1.00
4096,1,33718272,0.57,1.00,0.56,0.51,0.48,0.46,0.39
4096,8,33992704,0.75,1.00,0.72,0.67,0.62,0.62,0.88
4096,32,34938880,0.89,1.00,0.79,0.75,0.88,0.93,1.00
4096,64,36179968,0.94,1.00,0.84,0.88,0.96,0.99,1.00
4096,128,38658048,0.98,1.00,0.92,0.97,0.99,1.00,1.00
4096,256,43581440,1.00,1.00,0.99,1.00,1.00,1.00,1.00
4096,512,53538816,1.00,1.00,1.00,1.00,1.00,1.00,1.00
4096,1024,73224192,1.00,1.00,1.00,1.00,1.00,1.00,1.00
4096,2048,112848896,1.00,1.00,1.00,1.00,1.00,1.00,1.00
4096,4096,192241664,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8192,1,67436544,0.43,1.00,0.40,0.34,0.31,0.30,0.26
8192,8,68038656,0.63,1.00,0.57,0.51,0.48,0.47,0.74
8192,32,70074368,0.79,1.00,0.64,0.58,0.74,0.83,0.98
8192,64,72794112,0.88,1.00,0.69,0.74,0.88,0.94,1.00
8192,128,78262272,0.95,1.00,0.82,0.91,0.97,0.99,1.00
8192,256,89317376,0.98,1.00,0.94,0.98,1.00,1.00,1.00
8192,512,111370240,1.00,1.00,0.99,1.00,1.00,1.00,1.00
8192,1024,154980352,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8192,2048,242933760,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8192,4096,418869248,1.00,1.00,1.00,1.00,1.00,1.00,1.00
16384,1,134852608,0.37,1.00,0.33,0.27,0.24,0.22,0.17
16384,8,136077312,0.55,1.00,0.50,0.44,0.39,0.35,0.60
16384,32,140443648,0.74,1.00,0.58,0.52,0.65,0.74,0.94
16384,64,146268160,0.83,1.00,0.62,0.68,0.81,0.90,0.99
16384,128,157790208,0.91,1.00,0.73,0.83,0.94,0.97,1.00
16384,256,181161984,0.96,1.00,0.87,0.94,0.99,0.99,1.00
16384,512,227209216,0.99,1.00,0.96,0.99,1.00,1.00,1.00
16384,1024,319664128,1.00,1.00,0.99,1.00,1.00,1.00,1.00
16384,2048,504766464,1.00,1.00,1.00,1.00,1.00,1.00,1.00
16384,4096,875626496,1.00,1.00,1.00,1.00,1.00,1.00,1.00
32768,1,269709312,0.32,1.00,0.25,0.20,0.17,0.15,0.13
32768,8,272310272,0.46,1.00,0.41,0.34,0.29,0.27,0.46
32768,32,280977408,0.63,1.00,0.44,0.37,0.50,0.60,0.86
32768,64,292941824,0.75,1.00,0.50,0.55,0.68,0.79,0.96
32768,128,316592128,0.86,1.00,0.64,0.73,0.85,0.93,0.99
32768,256,364019712,0.94,1.00,0.81,0.87,0.95,0.98,1.00
32768,512,459096064,0.98,1.00,0.93,0.96,0.99,1.00,1.00
32768,1024,649388032,0.99,1.00,0.98,0.99,1.00,1.00,1.00
32768,2048,1028964352,1.00,1.00,1.00,1.00,1.00,1.00,1.00
32768,4096,1790193664,1.00,1.00,1.00,1.00,1.00,1.00,1.00
65536,1,539389952,0.31,1.00,0.27,0.21,0.15,0.13,0.09
65536,8,544600064,0.41,1.00,0.36,0.29,0.23,0.21,0.37
65536,32,562593792,0.59,1.00,0.44,0.37,0.44,0.52,0.78
65536,64,586727424,0.70,1.00,0.46,0.51,0.60,0.73,0.92
65536,128,635088896,0.81,1.00,0.58,0.66,0.78,0.88,0.98
65536,256,731426816,0.91,1.00,0.75,0.83,0.93,0.97,1.00
65536,512,924266496,0.97,1.00,0.89,0.94,0.98,0.99,1.00
65536,1024,1309831168,0.99,1.00,0.97,0.99,1.00,1.00,1.00
65536,2048,2081210368,1.00,1.00,0.99,1.00,1.00,1.00,1.00
65536,4096,3623047168,1.00,1.00,1.00,1.00,1.00,1.00,1.00
131072,1,1078788096,0.28,1.00,0.22,0.16,0.12,0.11,0.07
