nb vectors,nb trees,db size in bytes,recall score,recall@1,recall@10,recall@20,recall@50,recall@100,recall@500
131072,8,1089409024,0.38,1.00,0.32,0.26,0.20,0.18,0.31
131072,32,1125908480,0.52,1.00,0.34,0.29,0.38,0.44,0.69
131072,64,1174650880,0.64,1.00,0.39,0.43,0.54,0.63,0.87
131072,128,1272229888,0.77,1.00,0.51,0.59,0.72,0.82,0.96
131072,256,1467228160,0.88,1.00,0.68,0.76,0.89,0.94,0.99
131072,512,1856524288,0.94,1.00,0.82,0.89,0.96,0.98,1.00
131072,1024,2635870208,0.98,1.00,0.94,0.97,0.99,1.00,1.00
131072,2048,4194152448,1.00,1.00,0.98,0.99,1.00,1.00,1.00
131072,4096,7310032896,1.00,1.00,1.00,1.00,1.00,1.00,1.00
262144,1,2157428736,0.28,1.00,0.21,0.16,0.11,0.09,0.07
262144,8,2178834432,0.35,1.00,0.29,0.22,0.17,0.16,0.26
262144,32,2252554240,0.51,1.00,0.35,0.30,0.37,0.42,0.64
262144,64,2350833664,0.62,1.00,0.37,0.42,0.49,0.60,0.82
262144,128,2547965952,0.75,1.00,0.52,0.58,0.69,0.79,0.94
262144,256,2940981248,0.86,1.00,0.66,0.75,0.86,0.92,0.98
262144,512,3726553088,0.94,1.00,0.83,0.89,0.95,0.97,1.00
262144,1024,5297418240,0.98,1.00,0.93,0.97,0.99,0.99,1.00
262144,2048,8441425920,0.99,1.00,0.98,0.99,1.00,1.00,1.00
262144,4096,14727004160,1.00,1.00,0.99,1.00,1.00,1.00,1.00
524288,1,4315160576,0.25,1.00,0.17,0.13,0.09,0.07,0.05
524288,8,4358299648,0.32,1.00,0.25,0.19,0.15,0.13,0.21
524288,32,4507090944,0.44,1.00,0.28,0.24,0.27,0.33,0.54
524288,64,4705910784,0.55,1.00,0.34,0.33,0.42,0.50,0.74
524288,128,5102362624,0.68,1.00,0.41,0.48,0.59,0.71,0.90
524288,256,5896081408,0.81,1.00,0.58,0.66,0.78,0.87,0.97
524288,512,7484751872,0.90,1.00,0.73,0.82,0.91,0.96,0.99
524288,1024,10660601856,0.96,1.00,0.87,0.93,0.97,0.99,1.00
524288,2048,17006714880,0.99,1.00,0.96,0.98,0.99,1.00,1.00
524288,4096,29706665984,1.00,1.00,0.99,1.00,1.00,1.00,1.00
1048576,1,8230473728,0.26,1.00,0.20,0.14,0.10,0.08,0.06
1048576,8,8314437632,0.31,1.00,0.23,0.18,0.13,0.13,0.20
1048576,32,8601939968,0.44,1.00,0.31,0.25,0.28,0.32,0.52
1048576,64,8986054656,0.54,1.00,0.31,0.32,0.39,0.48,0.71
1048576,128,9754009600,0.67,1.00,0.43,0.46,0.57,0.68,0.87
1048576,256,11287420928,0.79,1.00,0.56,0.63,0.76,0.84,0.96
1048576,512,14354919424,0.89,1.00,0.71,0.79,0.89,0.94,0.99
1048576,1024,20488876032,0.95,1.00,0.85,0.92,0.96,0.98,1.00
1048576,2048,32757272576,0.98,1.00,0.94,0.97,0.99,0.99,1.00
1048576,4096,57305845760,0.99,1.00,0.98,0.99,1.00,1.00,1.00
